rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
715,6/13/1974,856,147,154,SEC236,6/30/1995,A,1.1,3.96,"205,473","4,938","2,491","147,039","32,452","118,994","77,150","26,100","21,000","48,900","3,179","45,721",0,0,"3,228","33,480","33,480",0,1,4,1,"26,458","52,128",59,29,30,0,0,59,0,0,0,15,0,1.1,0,53,6,0,0,0,0
1103,10/26/1995,86,271,42,OPTION,6/30/1995,B,1.11,0,"12,124",0,0,"10,898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0
1104,10/26/1995,92,271,42,OPTION,6/30/1995,B,1.12,0,"12,820",0,0,"11,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0
1105,10/26/1995,127,271,42,OPTION,6/30/1995,B,1.17,0,"13,970",0,0,"11,917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0
629,5/13/1970,1034,223,82,MISC,12/31/1995,A,1.57,3.29,"8,338",0,262,"5,149",0,"12,699","6,605","2,742",0,"8,000",0,"8,000",0,0,0,0,,,1,2,0,"5,345","8,000",3,3,0,0,0,0,3,0,0,0,0,4,0,0,1,0,1,0,1
632,05/03/1973,166,117,3,SEC236,12/31/1995,A,1.15,2.27,"879,145","104,889","7,446","669,577",0,"580,988","400,334","144,882",0,"222,058","38,591","183,467",0,0,0,"187,855","187,855",0,1,11,2,"403,583","222,058",250,63,187,0,0,0,250,0,0,3,0,1.58,0,105,145,0,0,0,0
633,7/16/1970,661,401,68,INTERN,12/31/1995,D,0.88,0.34,"583,290","111,169","9,215","528,410",0,"174,882","661,654","145,000",0,"144,545","32,440","112,105",0,"17,127",0,"113,360","113,360",0,1,12,3,"52,156","161,672",211,53,75,83,0,211,0,0,0,0,0,0.82,68,113,30,0,0,0,0
637,3/16/1972,795,512,81,INTERN,12/31/1995,C,0.87,1.16,"183,770","61,784","2,419","137,256",0,"93,553","106,614","25,762",0,"59,258","13,476","45,782",0,0,"3,696","44,931","44,930",1,1,7,2,"76,452","62,954",62,12,0,50,0,37,25,0,0,0,0,1.35,2,40,16,4,0,0,0
638,12/30/1970,452,37,113,S8NCON,12/31/1995,A,1.22,8.08,"2,338,776","234,500","229,841","1,535,500",0,"4,132,012","717,503","206,218",0,0,0,0,0,0,0,"400,392","400,392",0,18,2,0,"827,713","388,116",432,432,0,0,0,0,432,0,0,20,0,1.46,36,180,198,18,0,0,0
640,5/20/1971,109,169,115,SEC13A,12/31/1995,B,1.07,0.88,"491,475","121,303","9,813","336,356",0,"142,791","265,724","77,603","25,934","169,400",0,"169,400",0,0,0,"150,000","150,000",0,1,18,0,0,"169,400",200,2,198,0,0,0,200,0,0,0,0,1.5,0,100,100,0,0,0,0
645,10/01/1971,832,89,121,S8SUBR,12/31/1995,A,1.03,3.22,"599,241","97,738","30,249","456,537",0,"401,788","170,572","45,828",0,"107,600",0,"107,600",0,0,0,"85,100","85,100",0,6,4,0,"38,053","107,600",135,92,0,43,0,0,135,0,0,0,0,0.9,49,61,15,10,0,0,0
647,5/20/1971,1033,494,147,S8SUBR,12/31/1995,B,0.98,1.03,"250,271","13,768","5,393","236,164",0,"208,103","280,200","78,645",0,"75,134","9,278","65,856",0,0,0,"64,551","64,551",0,8,3,0,"47,980","75,134",88,88,0,0,0,0,88,0,0,0,0,2.61,0,3,41,31,13,0,0
653,12/27/1972,662,401,68,INTERN,12/31/1995,C,0.96,0.76,"513,479","70,882","9,066","452,440",0,"172,665","308,065","80,500",0,"145,213","31,562","113,651","9,906",0,"29,651","120,570","110,664","9,906",1,15,3,"39,814","184,770",179,45,63,71,0,179,0,0,0,4,0,0.87,36,130,13,0,0,0,0
