-------------------Pass: 0------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
1103	6/30/1995	  A	      B
1104	6/30/1995	  A	      B
1105	6/30/1995	  A	      B
629	12/31/1995	  F	      A
633	12/31/1995	  A	      C
637	12/31/1995	  A	      D
640	12/31/1995	  A	      B
647	12/31/1995	  A	      B
653	12/31/1995	  A	      D
655	12/31/1995	  A	      B
656	12/31/1995	  A	      D
660	12/31/1995	  A	      F
667	12/31/1995	  B	      A
674	12/31/1995	  A	      C
675	12/31/1995	  B	      D
677	12/31/1995	  C	      A
684	12/31/1995	  A	      F
685	12/31/1995	  A	      B
686	12/31/1995	  D	      B
690	12/31/1995	  B	      A
698	12/31/1995	  A	      B
699	12/31/1995	  A	      D
700	12/31/1995	  A	      F
706	12/31/1995	  B	      A
708	12/31/1995	  A	      D
712	12/31/1995	  A	      D
716	12/31/1995	  A	      B
717	12/31/1995	  F	      C
719	12/31/1995	  A	      D
722	12/31/1995	  C	      A
744	12/31/1995	  B	      A
749	12/31/1995	  D	      A
751	12/31/1995	  A	      B
752	12/31/1995	  B	      F
757	12/31/1995	  A	      B
766	12/31/1995	  A	      D
767	12/31/1995	  A	      C
777	12/31/1995	  A	      B
778	12/31/1995	  A	      D
781	12/31/1995	  C	      B
784	12/31/1995	  A	      B
785	12/31/1995	  A	      B
790	12/31/1995	  A	      B
792	12/31/1995	  A	      D
794	12/31/1995	  F	      B
797	12/31/1995	  B	      A
803	12/31/1995	  A	      C
808	12/31/1995	  A	      C
814	12/31/1995	  A	      B
823	12/31/1995	  F	      A
836	12/31/1995	  A	      B
840	12/31/1995	  A	      B
880	12/31/1995	  B	      A
910	12/31/1995	  A	      C
923	12/31/1995	  A	      B
955	12/31/1995	  A	      B
971	12/31/1995	  A	      D
974	12/31/1995	  F	      B
976	12/31/1995	  A	      D
979	12/31/1995	  A	      C
980	12/31/1995	  B	      A
988	12/31/1995	  A	      B
989	12/31/1995	  A	      D
993	12/31/1995	  B	      F
995	12/31/1995	  A	      F
1000	12/31/1995	  A	      D
1002	12/31/1995	  A	      C
1003	12/31/1995	  B	      A
1004	12/31/1995	  C	      A
1005	12/31/1995	  B	      F
1006	12/31/1995	  A	      B
1011	12/31/1995	  C	      A
1013	12/31/1995	  A	      B
1048	12/31/1995	  A	      D
1054	12/31/1995	  A	      B
1057	12/31/1995	  C	      D
1061	12/31/1995	  A	      D
1081	12/31/1995	  A	      B
629	12/31/1996	  B	      A
632	12/31/1996	  A	      D
633	12/31/1996	  A	      C
637	12/31/1996	  A	      C
647	12/31/1996	  A	      F
653	12/31/1996	  A	      F
660	12/31/1996	  A	      B
662	12/31/1996	  A	      D
669	12/31/1996	  A	      D
674	12/31/1996	  A	      D
675	12/31/1996	  A	      C
682	12/31/1996	  B	      C
685	12/31/1996	  A	      B
686	12/31/1996	  D	      B
691	12/31/1996	  A	      D
699	12/31/1996	  A	      F
700	12/31/1996	  A	      F
704	12/31/1996	  B	      A
706	12/31/1996	  B	      A
707	12/31/1996	  F	      D
715	12/31/1996	  A	      B
717	12/31/1996	  F	      B
718	12/31/1996	  A	      B
722	12/31/1996	  A	      C
751	12/31/1996	  A	      C
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
755	12/31/1996	  A	      B
760	12/31/1996	  A	      F
766	12/31/1996	  A	      D
767	12/31/1996	  A	      C
774	12/31/1996	  A	      F
777	12/31/1996	  A	      B
778	12/31/1996	  A	      B
781	12/31/1996	  B	      C
783	12/31/1996	  F	      C
786	12/31/1996	  A	      D
788	12/31/1996	  A	      C
790	12/31/1996	  B	      A
792	12/31/1996	  A	      D
794	12/31/1996	  F	      B
798	12/31/1996	  A	      B
803	12/31/1996	  A	      B
808	12/31/1996	  D	      B
814	12/31/1996	  A	      F
823	12/31/1996	  A	      B
824	12/31/1996	  A	      B
832	12/31/1996	  A	      B
833	12/31/1996	  A	      D
840	12/31/1996	  A	      F
880	12/31/1996	  A	      B
910	12/31/1996	  D	      A
923	12/31/1996	  A	      B
