rm_key | statement_date | predicted | actual 
11	12/31/2007	  A	      D
11	12/31/2004	  A	      C
11	12/31/2006	  C	      F
11	12/31/2009	  A	      C
11	12/31/2010	  B	      C
13	12/31/2001	  A	      D
13	12/31/2002	  B	      A
13	12/31/2004	  A	      D
13	12/31/2005	  B	      D
13	12/31/2006	  C	      D
13	12/31/2007	  F	      C
14	12/31/2006	  A	      C
14	12/31/2008	  D	      A
14	12/31/2009	  C	      A
16	12/31/2004	  B	      A
16	12/31/2005	  F	      A
16	12/31/2006	  B	      A
16	12/31/2007	  B	      A
17	12/31/2006	  B	      A
17	12/31/2007	  C	      A
18	12/31/2001	  C	      A
18	12/31/2007	  B	      A
18	12/31/2008	  B	      A
18	12/31/2009	  B	      A
19	12/31/2010	  B	      A
28	12/31/2009	  F	      A
34	12/31/2006	  B	      A
56	12/31/2010	  C	      A
60	6/30/2005	  D	      A
60	6/30/2007	  A	      C
60	6/30/2008	  B	      A
60	6/30/2010	  A	      D
65	6/30/2007	  A	      B
65	6/30/2008	  B	      C
65	6/30/2009	  C	      B
65	12/31/2010	  A	      C
74	12/31/2007	  B	      A
74	12/31/2009	  B	      A
74	12/31/2010	  B	      A
75	8/31/2006	  C	      A
75	8/31/2010	  B	      A
77	12/31/2006	  A	      C
77	12/31/2007	  C	      A
87	12/31/2010	  D	      A
93	6/30/2007	  A	      C
93	6/30/2009	  D	      A
103	12/31/2008	  B	      A
105	12/31/2008	  A	      D
135	12/31/2003	  A	      D
135	12/31/2005	  F	      A
135	12/31/2008	  A	      C
147	10/31/2005	  A	      C
147	6/30/2006	  A	      B
147	6/30/2007	  A	      F
147	6/30/2008	  A	      F
147	6/30/2009	  A	      B
147	6/30/2010	  A	      B
182	12/31/2005	  A	      C
198	6/30/2006	  A	      B
198	6/30/2007	  A	      C
198	6/30/2008	  A	      D
201	12/31/2007	  A	      B
201	12/31/2008	  A	      B
201	12/31/2009	  A	      B
201	12/31/2010	  A	      B
204	12/31/2007	  A	      B
216	12/31/2008	  A	      C
218	12/31/2005	  B	      A
218	12/31/2006	  A	      B
225	12/31/2004	  A	      B
225	9/30/2007	  A	      C
724	12/31/1995	  A	      B
724	12/31/1996	  A	      B
724	12/31/2002	  A	      B
724	12/31/2003	  A	      B
724	12/31/2004	  A	      F
724	12/31/2005	  A	      F
724	12/31/2006	  A	      F
724	12/31/2007	  A	      F
724	12/31/2008	  A	      D
724	12/31/2009	  A	      B
724	12/31/2010	  A	      B
727	12/31/1996	  A	      D
727	12/31/1997	  A	      C
727	12/31/1998	  A	      B
727	12/31/1999	  A	      B
727	12/31/2000	  A	      C
727	12/31/2001	  A	      C
728	12/31/2005	  A	      D
729	12/31/1995	  A	      F
729	12/31/1996	  A	      F
729	12/31/1997	  A	      F
729	12/31/1998	  A	      B
729	12/31/2000	  A	      B
729	12/31/2001	  A	      D
729	12/31/2002	  A	      F
729	12/31/2003	  A	      F
729	12/31/2004	  A	      F
729	12/31/2005	  A	      C
730	12/31/1996	  A	      C
730	12/31/1998	  A	      B
730	12/31/1999	  A	      B
730	12/31/2000	  A	      B
730	12/31/2001	  A	      B
730	12/31/2002	  A	      B
730	12/31/2008	  A	      C
730	12/31/2009	  F	      A
730	12/31/2010	  F	      B
731	12/31/1998	  C	      A
731	12/31/2000	  A	      C
731	12/31/2003	  A	      C
731	12/31/2005	  A	      F
731	12/31/2006	  B	      C
731	12/31/2007	  A	      B
731	12/31/2009	  A	      B
731	12/31/2010	  A	      B
735	12/31/2006	  A	      B
735	12/31/2008	  A	      C
737	12/31/1995	  A	      F
737	12/31/1996	  B	      A
737	12/31/1997	  A	      B
737	12/31/1998	  A	      C
737	12/31/2000	  B	      A
737	12/31/2001	  B	      C
737	12/31/2004	  D	      B
737	12/31/2005	  D	      B
737	12/31/2006	  A	      D
737	12/31/2007	  A	      D
737	12/31/2008	  C	      F
737	12/31/2009	  A	      B
737	12/31/2010	  D	      B
738	12/31/1996	  A	      F
738	12/31/1997	  A	      C
738	12/31/1998	  C	      B
738	12/31/1999	  A	      C
738	12/31/2000	  A	      B
738	12/31/2002	  A	      B
738	12/31/2004	  A	      D
738	12/31/2005	  A	      B
738	12/31/2006	  B	      C
738	12/31/2008	  A	      B
738	12/31/2009	  A	      F
740	12/31/1995	  A	      B
740	12/31/2001	  F	      A
740	12/31/2005	  B	      A
740	12/31/2006	  B	      A
740	12/31/2009	  A	      B
740	12/31/2010	  A	      B
741	12/31/1996	  C	      A
741	12/31/1997	  A	      D
741	12/31/1998	  A	      B
741	12/31/2002	  F	      A
742	12/31/1995	  A	      D
742	12/31/1996	  A	      D
742	12/31/1997	  A	      F
742	12/31/1998	  A	      D
742	12/31/1999	  A	      D
742	12/31/2007	  A	      C
742	12/31/2009	  A	      C
743	12/31/1996	  A	      B
743	12/31/1997	  A	      B
743	12/31/2002	  A	      B
743	12/31/2003	  A	      B
743	12/31/2005	  A	      B
1014	12/31/1995	  A	      B
1014	12/31/2004	  A	      D
1014	12/31/2005	  A	      C
1014	12/31/2006	  A	      C
1014	12/31/2007	  A	      C
1014	12/31/2008	  A	      B
1014	12/31/2010	  A	      C
1017	12/31/1995	  A	      C
1017	12/31/1996	  A	      B
1017	12/31/1997	  A	      B
1017	12/31/1998	  A	      F
1017	12/31/1999	  A	      F
1017	12/31/2004	  B	      A
1017	12/31/2008	  B	      A
1017	12/31/2009	  C	      A
1018	12/31/1995	  A	      F
1018	12/31/1996	  D	      B
1018	12/31/1998	  A	      D
1018	12/31/1999	  A	      F
1018	12/31/2001	  D	      A
1018	12/31/2003	  B	      A
1018	12/31/2004	  B	      A
1018	12/31/2007	  B	      A
1018	12/31/2009	  F	      A
1018	12/31/2010	  D	      A
1030	6/30/1995	  A	      F
1030	12/31/1996	  C	      F
1030	12/31/1997	  A	      F
1030	6/30/1998	  B	      F
1030	6/30/1999	  A	      F
1030	6/30/2000	  C	      F
1030	6/30/2001	  D	      B
1030	6/30/2002	  F	      A
1030	6/30/2005	  D	      A
1030	6/30/2007	  B	      A
1030	6/30/2008	  B	      A
1030	6/30/2009	  C	      A
1030	6/30/2010	  D	      A
1033	12/31/1996	  F	      A
1033	12/31/2001	  D	      A
1033	12/31/2002	  D	      A
1033	12/31/2005	  D	      A
1033	12/31/2006	  C	      A
1033	12/31/2007	  B	      A
1033	12/31/2010	  C	      A
1034	12/31/1995	  A	      C
1034	12/31/1996	  A	      D
1034	12/31/1997	  A	      D
1034	12/31/1998	  A	      F
1034	12/31/1999	  A	      F
1034	12/31/2000	  A	      F
1034	12/31/2001	  A	      F
1034	12/31/2002	  A	      F
1034	12/31/2003	  A	      F
1034	12/31/2005	  F	      A
1034	12/31/2006	  D	      A
1034	12/31/2007	  B	      A
1034	12/31/2008	  F	      A
1035	12/31/1995	  A	      C
1035	12/31/1996	  A	      B
1035	12/31/1997	  A	      F
1035	12/31/1998	  A	      C
1035	12/31/1999	  C	      A
1035	12/31/2001	  F	      C
1035	12/31/2002	  F	      C
1035	12/31/2003	  A	      F
1035	12/31/2004	  A	      F
1035	12/31/2005	  A	      F
1035	12/31/2008	  A	      B
1035	12/31/2009	  B	      A
1036	12/31/1995	  A	      B
1036	12/31/1996	  F	      D
1036	12/31/1997	  C	      B
1036	12/31/1998	  A	      D
1036	12/31/1999	  A	      F
1036	12/31/2000	  A	      F
1036	12/31/2001	  B	      F
1036	12/31/2002	  C	      F
1036	12/31/2003	  A	      F
1036	12/31/2004	  A	      F
1036	12/31/2005	  A	      F
1036	12/31/2006	  C	      F
1036	12/31/2007	  B	      F
1036	12/31/2008	  B	      F
1036	12/31/2009	  A	      F
1036	12/31/2010	  B	      F
1037	12/31/1995	  F	      B
1037	12/31/1996	  F	      A
1037	12/31/1999	  C	      A
1037	12/31/2000	  B	      A
1037	12/31/2003	  F	      A
1037	12/31/2004	  B	      A
1037	12/31/2006	  F	      D
1037	12/31/2009	  C	      A
1037	12/31/2010	  C	      A
-------------------------------------------------
 
Total false positives :259.0
Total Prediction Accuracy: 54.79930191972077
